n	allocate	freeUp	freeDown	freeScattered
1	427.541	145.51	151.694	171.367
2	431.163	150.551	151.714	172.939
3	430.949	145.663	151.214	172.449
4	435.612	148.327	151.224	171.857
5	428.929	146.684	151.143	170.5
6	431.847	145.327	152.908	170.776
7	435.724	148.98	151.133	171.5
8	431.684	147.98	151.673	170.286
9	432.653	147.898	151.173	173.306
10	424.398	147.194	152.796	170.143
11	425.694	146.959	150.837	170.378
12	428.714	148.031	154.245	172.673
13	439.204	148.408	153	172.949
14	425.98	147.643	151.969	170.092
15	429.316	147.082	151.531	170.327
16	425.684	146.143	150.878	171.367
17	425.939	146.367	152.296	171.459
18	426.551	146.286	151.898	172.255
19	436.939	146.51	152.357	170.816
20	441.327	145.643	150.878	169.388
21	442.602	147.633	152	169.633
22	424.786	146.439	152.378	169.949
23	426.255	146.194	151.143	171.235
24	439.796	149.173	151.449	170.816
25	517.469	153.582	187.5	183.357
26	497.449	151.061	195.235	183.582
27	502.459	151.571	186.694	182.571
28	514.316	154.378	187.367	184.867
29	500.755	152.653	188.5	184.459
30	509.469	152.776	186.653	185.398
31	503.643	152.929	186.398	184.786
32	510.092	153.469	189.245	185.622
33	509.316	152.908	186.541	184.633
34	509.194	153.459	188.265	182.265
35	504.531	152.724	186.5	184.714
36	511.418	152.969	186.959	183.908
37	508.306	152.837	195.939	183.684
38	516.092	153.459	185.459	183.796
39	520.204	155.633	187.459	184.796
40	514.531	151.959	186.612	184.071
41	595.592	145.612	201.929	193.816
42	603.857	147.337	201.041	194.316
43	601.071	148.071	202.347	195.173
44	597.5	145.816	200.786	195.061
45	602.265	146.837	201.592	193.827
46	599.918	147.673	203.02	193.745
47	596.133	146.51	199.602	194.806
48	593.714	144.888	205.469	194.041
49	597.051	145.745	201.939	195.041
50	595.082	145.745	201.571	197.224
51	613.694	146.429	200.429	192.592
52	623.459	154.541	201.867	195.061
53	596.786	145.765	201.633	203.837
54	601.051	146.469	201.796	194.827
55	610.602	145.408	199.653	194.867
56	596.541	145.296	201.908	193.847
57	678.367	153.878	190.827	204.459
58	680.5	152.571	190.622	199.653
59	679.684	153.122	189.541	200.061
60	680.041	153.898	189.49	201.633
61	677.643	153.541	189.806	200.857
62	684.847	154.092	191.806	201.367
63	684.245	153.5	191.214	200.633
64	676.867	152.612	190.622	198.51
65	683.776	154.245	191.327	201.01
66	677.622	152.704	196.031	202.071
67	686.622	153.092	190.02	199.592
68	675.592	152.724	191.102	201.122
69	678.959	154.255	190.52	201.684
70	681.51	152.643	191.898	201.378
71	688.857	152.327	189.776	200.327
72	692.102	152.602	190.041	201.949
73	754.49	282.98	787.898	405.112
74	754.112	281.898	805.367	411.276
75	762.796	281.204	804.398	408.765
76	753.48	281.541	800.99	407.541
77	754.878	283.469	800.5	407.122
78	761.827	289.918	791.214	399.357
79	756.112	284.735	789.459	414.551
80	757.673	281.929	806.888	410.837
81	755.327	282.194	794.694	407.806
82	751.265	282.286	796.01	407.745
83	750.582	280.347	802.133	407.724
84	752.235	282.551	813.48	412.837
85	758.959	284.541	766.51	409.418
86	747.204	280.224	749.245	411.276
87	748.724	280.449	777.041	407.98
88	757.878	281.867	790.816	406.143
89	837.602	302.806	793.755	452.949
90	831.704	302.592	805.204	448.112
91	844.633	299.316	787.704	450.633
92	840.561	300.48	788.592	453.347
93	843.408	302.173	809.469	442.48
94	840.592	299.337	795.306	449.071
95	844.898	301.786	795.071	452.959
96	852.541	304.837	799.235	437.429
97	843.327	299.561	799.398	451.02
98	839.827	307.684	805.265	448.541
99	842.327	300.337	806.643	451.224
100	843.133	301.796	793.439	447.929
101	849.173	306.786	798.367	451.847
102	840.061	299.918	793.408	448.5
103	840.194	299.602	789.622	449.52
104	845.816	302.592	796.224	452.378
105	942.112	328.857	976.684	482.469
106	931.918	332.735	985.918	480.867
107	939.745	329.602	960.378	483.112
108	943	330.663	963.184	480.102
109	946.316	331.265	960.847	482.52
110	954.929	327.949	968	487.378
111	941.949	328.357	960.969	483.5
112	942.143	327.061	957.398	491.122
113	943.439	326.347	981	490.041
114	951.194	332.265	962.306	487.633
115	954.255	339.663	951.918	481.806
116	938.306	323.01	973.806	487.867
117	948.541	326.806	967.755	493.337
118	956.724	325.449	978.245	484.551
119	946.551	326.143	962.633	478.612
120	942.786	332.429	967.357	494.592
121	1019.86	330.816	1001.69	468.286
122	1015.3	329.378	983.582	480.337
123	1002.86	329.316	993.418	481.837
124	1004.3	327.276	1005.76	480.602
125	1011.1	329.959	990.51	483.224
126	1007.81	328.602	978.551	480.561
127	1016.03	330.449	993.837	476.929
128	1019.02	334.122	990.051	485.592
129	1008.89	331.041	995.041	480.347
130	1006.47	324.827	1000.84	482.245
131	1009.56	330.867	992.949	475.653
132	1008.21	330.592	989.796	479.357
133	1020.4	333.276	1018.12	480.276
134	1012.68	330	1000.5	481.388
135	1007.63	329.929	996.531	482.939
136	1023.04	333.592	996.571	479.724
137	1113.95	361.224	1134.37	475.245
138	1117.77	361.061	1132.84	474.357
139	1116.29	355.745	1131.33	479.929
140	1105.68	354.888	1138.13	473.663
141	1121.76	359.837	1140.82	478.541
142	1125.19	358.02	1143.88	490.102
143	1115.14	356.745	1132.68	480.969
144	1120.88	361.429	1132.12	493.673
145	1147.22	369.49	1135.58	469.806
146	1109.29	355.653	1165.32	476.184
147	1123.01	361.194	1141.35	489.959
148	1105.96	353.684	1116.5	482.714
149	1108.9	357.5	1131.95	482.082
150	1117.21	365.949	1153.12	480.153
151	1118.79	358.082	1145.47	477.143
152	1114.22	354.327	1133.8	493.724
153	1184.72	372.765	1146.97	530.867
154	1177.21	366.286	1167.89	543.194
155	1189.8	383.653	1155.23	532.265
156	1183.5	369.429	1174.7	531.286
157	1184.51	370.48	1160.15	527.541
158	1189.01	372.49	1163.48	535.378
159	1174.46	363.633	1171.59	528.224
160	1183.7	370	1165.01	528.092
161	1191.07	367.418	1164.51	530.276
162	1175.67	365.173	1184.13	533.367
163	1179.58	363.857	1168.34	531.816
164	1175.01	365.286	1169.99	527.51
165	1176.53	365.724	1165.11	539.449
166	1184.72	367.49	1154.7	531.061
167	1168.9	361.98	1144.57	530.888
168	1183.87	364.327	1180.85	525.857
169	1288.31	392.867	1324.38	552.949
170	1296.05	397.102	1320.96	552.061
171	1290.57	389.071	1310.97	542.857
172	1296.08	397.398	1305.93	550.837
173	1287.28	393.051	1304.62	550.449
174	1286.73	398.235	1303.22	544.296
175	1289.87	395.092	1287.01	549.122
176	1292.84	395.622	1307.68	546.898
