n     ../ValueBased/Qsort_straight	../ValueBased/Qsort_2_6_6	../ValueBased/Qsort_2_6_11	../ValueBased/Insertion
1	3	2	3	3
2	4	3	3	7
3	4	3	3	8
4	5	3	4	9
5	4	4	4	10
6	6	4	4	10
7	5	4	5	10
8	6	5	5	10
9	6	5	6	11
10	7	6	6	11
11	7	6	6	12
12	7	7	7	12
13	7	7	7	13
14	8	7	8	13
15	8	7	8	13
16	9	7	8	13
17	9	8	8	14
18	10	8	9	13
19	10	8	9	14
20	10	9	10	14
21	11	9	10	14
22	11	9	11	14
23	12	10	10	16
24	12	10	11	16
25	12	10	11	16
26	13	10	13	16
27	13	11	13	18
28	13	11	14	18
29	13	12	14	17
30	14	12	15	19
31	14	13	15	19
32	15	13	14	21
33	16	13	16	23
34	15	13	16	21
35	17	14	15	21
36	17	15	16	21
37	16	14	15	25
38	17	15	16	25
39	20	16	18	24
40	176	17	19	26
41	178	17	17	23
42	168	16	19	25
43	157	19	20	26
44	179	18	20	28
45	175	17	20	26
46	164	18	21	26
47	172	18	21	28
48	176	19	21	32
49	148	20	21	29
50	176	20	22	35
51	156	22	22	32
52	149	21	24	32
53	188	23	23	32
54	190	21	22	33
55	166	25	24	34
56	181	23	25	39
57	166	25	26	34
58	185	23	27	37
59	159	22	25	35
60	166	25	24	36
61	173	23	25	39
62	174	28	25	38
63	172	24	29	39
64	171	29	29	39
65	190	23	29	41
66	161	25	30	39
67	188	25	30	43
68	165	24	30	44
69	181	27	29	46
70	172	26	29	44
71	161	29	29	46
72	165	27	33	46
73	161	27	32	50
74	179	29	34	48
75	167	27	31	49
76	173	29	38	50
77	179	30	33	47
78	174	28	33	52
79	171	31	35	53
80	187	30	32	52
81	196	29	33	54
82	184	31	32	51
83	178	30	35	52
84	178	28	35	59
85	205	31	37	61
86	184	34	37	59
87	177	32	36	59
88	183	33	39	58
89	160	33	39	56
90	179	35	37	63
91	182	36	33	58
92	196	35	38	57
93	175	37	36	67
94	186	36	40	64
95	211	34	40	61
96	173	36	39	70
97	193	33	38	64
98	185	37	43	65
99	180	38	41	77
100	169	36	40	74
101	173	41	42	78
102	168	40	42	74
103	190	36	41	70
104	173	40	42	76
105	186	42	46	73
106	181	40	41	80
107	195	36	49	84
108	173	38	44	73
109	181	38	45	80
110	180	38	48	75
111	173	43	52	86
112	173	44	47	74
113	163	45	48	77
114	202	40	47	73
115	179	38	47	93
116	176	43	46	81
117	183	44	45	81
118	177	43	47	81
119	180	44	51	94
120	170	43	53	82
121	172	41	53	89
122	191	48	49	87
123	192	46	48	97
124	190	49	48	95
125	231	42	49	88
126	169	41	48	99
127	190	47	56	103
128	168	44	55	99
129	173	48	48	104
130	178	47	54	106
131	174	44	50	109
132	186	45	53	104
133	188	42	48	104
134	203	50	50	109
135	191	49	59	108
136	185	53	54	114
137	172	47	54	109
138	189	52	53	115
139	185	51	50	114
140	185	49	56	111
141	183	51	58	107
142	195	47	50	109
143	186	48	59	104
144	199	52	52	130
145	182	51	58	117
146	190	52	54	120
147	187	48	57	113
148	191	47	61	121
149	194	51	58	120
150	196	50	65	123
151	193	52	67	117
152	196	60	61	125
153	198	56	66	128
154	200	55	58	123
155	198	49	69	123
156	181	53	63	132
157	190	63	65	124
158	199	53	64	137
159	189	56	62	133
160	196	55	64	131
161	196	57	66	140
162	208	61	61	135
163	194	58	67	134
164	189	63	57	138
165	191	58	64	141
166	228	58	64	141
167	204	64	65	155
168	198	60	67	141
169	188	56	67	156
170	189	61	64	162
171	191	56	62	155
172	202	60	65	149
173	202	59	63	147
174	192	57	64	144
175	199	54	72	151
176	201	57	69	146
177	216	63	67	190
178	222	65	63	151
179	291	67	68	149
180	200	57	65	153
181	226	61	65	180
182	215	65	66	162
183	223	60	69	167
184	201	67	82	166
185	207	64	71	169
186	211	64	77	161
187	236	68	76	178
188	223	64	67	176
189	209	66	73	179
190	204	73	72	175
191	214	66	70	183
192	217	65	71	182
193	217	62	69	174
194	213	66	78	187
195	212	73	81	180
196	214	69	75	201
197	223	65	73	183
198	235	69	76	186
199	199	64	74	191
200	213	66	73	208
201	212	79	80	191
202	223	73	82	202
203	228	71	76	205
204	206	69	77	198
205	212	70	89	207
206	211	74	74	199
207	232	70	84	210
208	226	72	82	206
209	222	69	83	208
210	239	76	78	218
211	221	75	83	207
212	219	76	78	206
213	219	80	84	214
214	254	73	88	217
215	230	70	80	236
216	229	74	81	223
217	223	75	85	218
218	246	71	79	234
219	223	81	82	222
220	216	78	80	230
221	227	84	86	232
222	218	80	82	230
223	232	76	91	232
224	215	73	84	234
225	212	72	88	231
226	236	77	89	230
227	248	74	88	246
228	229	82	84	242
229	234	79	83	243
230	232	79	91	248
231	225	81	89	250
232	246	83	83	252
233	232	80	91	239
234	236	79	88	252
235	221	79	92	258
236	235	78	91	251
237	237	82	88	254
238	232	82	92	248
239	230	86	98	258
240	243	80	93	256
241	245	87	92	271
242	240	82	95	259
243	255	81	96	288
244	240	92	94	264
245	233	85	94	279
246	229	91	92	286
247	248	87	93	283
248	259	85	95	276
249	242	89	96	288
250	248	90	94	290
251	254	93	101	296
252	244	89	102	284
253	232	82	102	296
254	254	88	98	302
255	264	86	106	302
256	249	86	102	310
257	238	85	105	294
258	249	90	94	287
259	252	90	101	309
260	244	88	101	321
261	246	104	108	305
262	260	85	102	335
263	267	95	106	328
264	259	89	103	310
265	270	91	96	318
266	254	92	99	329
267	272	94	107	331
268	260	89	104	313
269	242	90	102	352
270	272	99	99	323
271	254	93	108	341
272	255	93	100	338
273	253	94	111	335
274	263	97	109	328
275	271	90	106	330
276	252	97	101	336
277	278	94	105	333
278	255	97	104	340
279	248	98	108	354
280	253	94	110	340
281	265	99	111	365
282	271	94	103	360
283	264	111	112	368
284	242	101	109	366
285	273	97	105	356
286	265	103	106	364
287	266	102	115	348
288	283	98	113	350
289	279	102	113	358
290	268	105	112	379
