# Now comes the left side of the figure (sorted -O4 data)
n InsertionVal	Qsort_2_6_11	Qsort_2_6_6	Qsort_2_6_9
1		0.00225		0.002125	0.002125	0.001875
2		0.00225		0.002375	0.00225		0.002375
4		0.0025		0.00225		0.00225		0.002125
8		0.002625	0.003		0.003625	0.002875
16		0.002875	0.003625	0.004375	0.004375
32		0.003375	0.005875	0.006		0.007
64		0.004		0.01		0.0095		0.014375
128		0.00525		0.019625	0.015375	0.02725
256		0.007875	0.038375	0.029375	0.059125
512		0.014375	0.0795		0.05675		0.130125
1024		0.027125	0.17525		0.10825		0.2795
2048		0.052125	0.372375	0.214875	0.627375
4096		0.097		0.80975		0.42675		1.33475
8192		0.203125	1.72487		0.8615		3.05087
16384		0.451		3.779		1.76475		6.62112


# Now comes the right side of the figure (nearly sorted, 16 out of order)
n	InsertionVal	Qsort_2_6_11	Qsort_2_6_6	Qsort_2_6_9
1	0.002		0.002125	0.002125	0.001875
2	0.0025		0.002375	0.0025		0.002
4	0.003		0.0025		0.002625	0.00275
8	0.004125	0.0035		0.003625	0.003125
16	0.0065		0.0055		0.005875	0.005
32	0.01325		0.0085		0.009125	0.008625
64	0.027625	0.012125	0.017125	0.018125
128	0.0515		0.02125		0.0305		0.035625
256	0.114		0.040875	0.065375	0.0765
512	0.25725		0.084125	0.133625	0.161
1024	0.42275		0.17825		0.27375		0.34225
2048	0.827875	0.384875	0.601625	0.76
4096	1.72988		0.801375	1.23638		1.592
8192	3.972		1.7485		2.78437		3.65025
16384	6.709		3.72413		5.88175		7.87675

