# BINS=../../ValueBased/Qsort_straight ../../ValueBased/Qsort_2_6_6 ../../ValueBased/Qsort_2_6_11 ../../ValueBased/Insertion
n 	Sort1	Sort2	Sort3	Sort4
1 	0.002	0.002	0.003	0.003
2 	0.002	0.002	0.002	0.003
4 	0.003	0.004	0.003	0.008
8 	0.004	0.005	0.005	0.009
16 	0.007	0.013	0.011	0.012
32 	0.012	0.026	0.015	0.013
64 	0.017	0.037	0.029	0.011
128 	0.043	0.082	0.046	0.019
256 	0.081	0.146	0.082	0.034
512 	0.192	0.334	0.250	0.079
1024 	0.416	0.851	0.510	0.177
2048 	1.2	1.8	1.1	0.325
4096 	2.6	3.9	2.5	0.811
8192 	5.5	8.0	4.9	1.5
16384 	12.7	15.1	10.9	3.3
