n	3.14159*2^n
1	1.9890238444010417
2	1.9554850260416667
3	1.971282958984375
4	1.9832916259765625
5	1.9640604654947917
6	1.9817860921223958
7	1.9602762858072917
8	1.972991943359375
9	1.9796244303385417
10	1.9621073404947917
11	1.9767506917317708
12	1.9774983723958333
13	1.9739888509114583
14	1.976287841796875
15	1.9545796712239583
16	1.9614613850911458
17	1.9775339762369792
18	1.9493357340494792
19	1.9720102945963542
20	1.9700063069661458
21	1.9512583414713542
22	1.9724782307942708
23	1.9754536946614583
24	1.95098876953125
25	1.9802195231119792
26	1.9557851155598958
27	1.9733734130859375
28	1.9801381429036458
29	1.945343017578125
30	2.746861775716146
31	2.7501068115234375
32	3.720525105794271
33	3.7401224772135415
34	3.7433369954427085
35	3.737945556640625
36	3.746861775716146
37	3.7493133544921875
38	3.750147501627604
39	3.760950724283854
40	3.736083984375
41	3.783991495768229
42	3.7906494140625
43	3.7637786865234375
44	3.7636871337890625
45	3.7581380208333335
46	3.761510213216146
47	3.7715657552083335
48	3.7591400146484375
49	3.736272176106771
50	3.7755839029947915
51	3.7516581217447915
52	3.7550760904947915
53	3.782470703125
54	3.7603759765625
55	3.7767842610677085
56	3.767512003580729
57	3.7650299072265625
58	3.760808308919271
59	3.76995849609375
60	3.783350626627604
61	3.7540435791015625
62	3.757695515950521
63	3.763849894205729
64	4.399709065755208
65	4.4154205322265625
66	4.388509114583333
67	4.384714762369792
68	4.3233896891276045
69	4.4013621012369795
70	4.3917083740234375
71	4.367767333984375
72	4.3950856526692705
73	4.4145355224609375
74	4.3936920166015625
75	4.368143717447917
76	4.2676239013671875
77	4.427846272786458
78	4.362152099609375
79	4.4092763264973955
80	4.4042104085286455
81	4.417887369791667
82	4.4203643798828125
83	4.373494466145833
84	4.4064788818359375
85	4.4222361246744795
86	4.4296112060546875
87	4.3721364339192705
88	4.3712921142578125
89	4.379740397135417
90	4.37469482421875
91	4.365915934244792
92	4.3746185302734375
93	4.222625732421875
94	4.3793182373046875
95	4.395294189453125
96	5.224904378255208
97	5.2275390625
98	5.2328847249348955
99	5.2477366129557295
100	5.203826904296875
101	5.2011159261067705
102	5.2428639729817705
103	5.2409006754557295
104	5.2149607340494795
105	5.229390462239583
106	5.2547251383463545
107	5.244303385416667
108	5.247792561848958
109	5.201283772786458
110	5.2317454020182295
111	5.216379801432292
112	5.2463531494140625
113	5.216756184895833
114	5.2262624104817705
115	5.1391042073567705
116	5.20220947265625
117	5.2388966878255205
118	5.2510121663411455
119	5.2087351481119795
120	5.2363637288411455
121	5.2266286214192705
122	5.2128143310546875
123	5.204111735026042
124	5.239654541015625
125	5.2286427815755205
126	5.262888590494792
127	5.284901936848958
128	5.8963572184244795
