n	statesA	statesB	statesD	statesD2N	avgA	avgB	avgD	avgD2N
2	5.0	4.5	3.0	6.4	2.0	2.0	2.0	2.0
3	7.0	13.4	7.0	26.8	3.0	3.0	3.0	3.0
4	9.0	25.6	12.3	66.1	4.0	4.0	4.0	5.0
5	11.1	46.3	21.2	182.5	5.0	5.0	5.0	5.9
6	12.5	77.2	31.7	317.8	6.0	6.0	6.0	9.5
7	14.9	136.5	57.4	751.4	6.8	6.8	6.9	9.6
8	17.1	220.5	85.6	1095.2	7.7	7.7	7.9	13.0
9	22.0	367.9	147.2	2621.7	8.8	8.7	8.8	13.1
10	25.5	578.8	211.7	3152.9	9.8	9.6	9.8	16.5
11	33.1	926.4	296.6	6723.3	10.6	10.4	10.6	17.1
12	42.3	1445.7	440.8	5860.5	11.9	11.3	11.6	20.7
13	56.6	2351.3	558.9	12483.1	13.2	12.2	12.3	21.7
14	60.7	3579.7	900.3	14328.1	14.5	13.0	13.3	25.1
