#Dim	KD build	KD search	BF search	Combined
2	675.4387755	1.071428571	391.5102041	676.5102041
3	682.6938776	1.724489796	457.2040816	684.4183673
4	691.2857143	3.581632653	532.9489796	694.8673469
5	689.8367347	8.612244898	613.877551	698.4489796
6	573.5816327	23.15306122	854.4285714	596.7346939
7	590.3367347	52.55102041	944.9591837	642.8877551
8	600.8367347	105.0306122	1035.387755	705.8673469
9	615.2755102	275.4591837	1033.326531	890.7346939
10	640.5102041	558.3061224	1123.734694	1198.816327
11	661.255102	973.2959184	1211.214286	1634.55102
12	682.7142857	1567.591837	1331.204082	2250.306122
13	696.5714286	2306.214286	1456.183673	3002.785714
14	779.1836735	2503.77551	1170.316327	3282.959184
15	802.0408163	2897.102041	1165.244898	3699.142857
16	807.8061224	3204.806122	1218.826531	4012.612245
17	757.4081633	3727.622449	1548.316327	4485.030612
18	753.4591837	3994.061224	1800.285714	4747.520408
19	766.0918367	4153.387755	1845.908163	4919.479592
20	770.2346939	4230.867347	1927.489796	5001.102041
21	774.9897959	4302.571429	2032.255102	5077.561224
22	791.8979592	4434.173469	2136.244898	5226.071429
23	800.2040816	4577.030612	2223.357143	5377.234694
24	811.7142857	4677.693878	2326.163265	5489.408163
25	824.1734694	4773.397959	2297.959184	5597.571429
26	826.9489796	4869.653061	2396.714286	5696.602041
27	836.1428571	4947.591837	2519.561224	5783.734694
28	845.1734694	5053.744898	2687.122449	5898.918367
29	858.8673469	5143.755102	2880.05102	6002.622449
30	858.7755102	5242.765306	2925.479592	6101.540816
