#n	Andrew	Heap	Balanced	Bucket	Sorting Only				
512	0.153061224	0.642857143	0.316326531	0.153061224	0.153061224
1024	1.295918367	1.43877551	0.479591837	0.316326531	0.459183673
2048	2.693877551	1.602040816	1.908163265	1.112244898	2.214285714
4096	3.857142857	5.887755102	4.632653061	2.214285714	3.010204082
8192	9.448979592	14.01020408	8.275510204	5.540816327	8.102040816
16384	26.28571429	28.81632653	18.7755102	10.67346939	17.66326531
32768	56.7244898	54.57142857	35.66326531	19.51020408	39.06122449
65536	111.6428571	114.7755102	80.06122449	38.70408163	83.40816327
131072	242.4489796	244.0204082	171.2346939	78.46938776	181.2653061

									
512	0.62244898	0.632653061	0.153061224	0.93877551	0				
1024	0.948979592	0.959183673	0.775510204	0.479591837	0.469387755
2048	2.56122449	1.744897959	2.255102041	2.06122449	1.091836735
4096	5.887755102	6.704081633	4.612244898	3.346938776	2.724489796
8192	12.19387755	13.24489796	11.66326531	6.346938776	7.153061224
16384	26.87755102	28.74489796	23.89795918	14.83673469	16.33673469
32768	59.65306122	62.33673469	57.45918367	34.35714286	38.17346939
65536	157.5816327	155.5102041	143.7959184	75.58163265	109.1530612
131072	403.9693878	386.8265306	345.2959184	163.3163265	291.0306122

