#d	single		double
2	21.5625		3.0546875
3	38.7109375	12.546875
4	78.28125	37.03125
5	156.6796875	109.2890625
6	346.2734375	263.421875
7	654.3828125	707.84375
8	1523.6484375	1671.21875
9	2892.234375	3728.1796875
10	5378.8203125	7885.3359375
11	7976.03125	14018.2421875
12	11052.8515625	22081.1015625
13	15407.5703125	34308.5234375
14	14647.4375	45436.421875
15	13571.0234375	55808.6875
16	10673.5234375	59433.3359375
17	7695.921875	62401.9375
18	6097.6640625	63428.796875
19	4230.6640625	64286.2578125
20	3359.65625	64857.96875
21	1812.8828125	65090.390625
22	1215.890625	65325.1640625
23	380.9765625	65463.9921875
24	329.171875	65503.5546875
25	77.1171875	65520.2109375
26	53.2734375	65531.2421875
27	37.78125	65534.890625
28	1.0		65535.0
29	2.4375		65533.5625
30	1.0		65535.0
31	1.765625	65535.0
32	1.0		65535.0


#d	single		double
2	22.9453125	3.578125
3	39.1875		11.453125
4	79.234375	36.7265625
5	169.8515625	112.90625
6	469.7890625	354.1015625
7	883.84375	888.6171875
8	1605.25		1846.2578125
9	3469.53125	4022.71875
10	6706.7578125	9316.8046875
11	12671.6953125	21144.921875
12	18211.2578125	34124.125
13	22824.40625	47342.4296875
14	31831.0703125	74100.1640625
15	30886.46875	95895.9453125
16	28273.9765625	114672.53125
17	16219.8984375	122663.109375
18	13445.859375	125839.4765625
19	11976.4765625	128090.5625
20	7918.0859375	128700.3046875
21	6189.671875	129894.7109375
22	2096.2890625	130533.9921875
23	1095.8359375	130947.8984375
24	928.8828125	130975.6796875
25	654.953125	131002.5078125
26	197.3828125	131038.140625
27	81.671875	131051.46875
28	261.8125	131059.3046875
29	1.0		131071.0
30	1.0		131071.0
31	34.546875	131071.0
32	1.0		131071.0


#d	single		double
2	24.53125	3.3828125
3	44.53125	13.3125
4	86.3984375	39.59375
5	197.0703125	119.0546875
6	418.84375	306.8671875
7	1029.9453125	970.859375
8	2392.578125	2641.796875
9	4432.5234375	4892.8828125
10	8375.6171875	11398.359375
11	16709.890625	25808.0078125
12	27167.9375	47045.1953125
13	39830.4296875	77722.125
14	52855.3046875	126626.6328125
15	59217.828125	162295.4765625
16	61428.3671875	213828.5
17	45058.109375	235781.359375
18	30632.34375	246965.2578125
19	28880.40625	252965.1328125
20	19866.1171875	256751.5546875
21	13338.2890625	258906.7734375
22	10080.671875	260209.75
23	5742.296875	261184.84375
24	3322.390625	261614.5703125
25	1695.2578125	261834.4921875
26	833.2734375	262024.59375
27	627.65625	262096.5
28	110.3671875	262136.6015625
29	61.6796875	262132.1640625
30	4.2421875	262136.515625
31	1.0		262143.0
32	1.0		262143.0
