#d	n=4096	n=8192	n=16384	n=32768	n=65536	n=131072 (values below are just n^(1-1/d)
2	64	90.50966799	128	181.019336	256	362.038672
3	256	406.3746693	645.0795775	1024	1625.498677	2580.31831
4	512	861.0779292	1448.154688	2435.496172	4096	6888.623434
5	776.0468821	1351.176101	2352.534231	4096	7131.550215	12416.75011
6	1024	1824.560575	3250.997354	5792.618751	10321.27324	18390.4182
7	1248.269982	2261.175324	4096	7419.688258	13440.37447	24346.53043
8	1448.154688	2655.927408	4870.992343	8933.439346	16384	30048.38849
9	1625.498677	3010.01624	5573.795841	10321.27324	19112.41178	35391.39752
10	1782.887554	3326.985815	6208.375056	11585.2375	21618.81761	40342.14014
11	1922.930505	3610.99778	6780.954869	12733.69626	23912.12205	44903.66107
12	2048	3866.109185	7298.242299	13777.24687	26007.97884	49096.5263
13	2160.160925	4096	7766.650997	14726.77434	27924.24723	52948.70181
14	2261.175324	4303.899192	8192	15592.57339	29678.75303	56490.25081
15	2352.534231	4492.595117	8579.433454	16384	31288.24968	59750.64501
16	2435.496172	4664.478248	8933.439346	17109.38165	32768	62757.4886
17	2511.124159	4821.592858	9257.908498	17776.04876	34131.67344	65536
18	2580.31831	4965.68757	9556.205892	18390.4182	35391.39752	68108.89264
19	2643.843477	5098.260846	9831.241479	18958.09413	36557.87865	70496.45826
20	2702.352201	5220.600329	10085.53503	19483.96937	37640.5477	72716.74492
21	2756.403595	5333.816144	10321.27324	19972.31971	38647.70802	74785.77136
22	2806.478817	5438.868799	10540.35884	20426.88814	39586.67491	76717.74673
23	2852.993747	5536.592432	10744.45249	20850.95854	40463.90196	78525.28019
24	2896.309376	5627.71414	10935.00809	21247.41926	41285.09296	80219.57301
25	2936.740348	5712.870057	11113.30265	21618.81761	42055.29981	81810.59085
26	2974.562009	5792.618751	11280.46142	21967.40635	42779.00731	83307.21603
27	3010.01624	5867.452404	11437.47906	22295.18336	43460.20645	84717.38106
28	3043.316304	5937.806176	11585.2375	22603.92543	44102.45751	86048.18507
29	3074.650895	6004.066072	11724.52113	22895.21704	44708.94437	87305.99511
30	3104.187528	6066.575574	11856.02959	23170.47501	45282.52125	88496.53407
31	3132.075394	6125.641246	11980.3887	23430.96955	45825.75304	89624.95713
32	3158.44777	6181.537495	12098.15979	23677.84234	46340.95001	90695.91802
33	3183.424065	6234.510627	12209.84763	23912.12205	46830.19793	91713.62681
34	3207.11156	6284.782311	12315.90731	24134.73774	47295.38403	92681.90002
35	3229.606896	6332.552549	12416.75011	24346.53043	47738.21964	93604.20455
36	3250.997354	6378.00224	12512.74859	24548.26315	48160.25984	94483.69582
37	3271.36195	6421.295379	12604.24098	24740.62961	48562.92058	95323.25136
38	3290.772384	6462.580975	12691.53499	24924.26184	48947.49366	96125.50014
39	3309.293863	6501.994709	12774.91119	25099.7368	49315.15985	96892.84836
40	3326.985815	6539.660381	12854.62586	25267.58216	49667.00045	97627.50222

