#n	n=4096	n=8192	n=16384	n=32768	n=65536	n=131072
2	16.03061224	17	53.90816327	169.9897959	349.0408163	711.3877551
3	13.78571429	42.81632653	136.5	248.0306122	458.2959184	952.6326531
4	52.3877551	159.4183673	246.1530612	368.1836735	790.0204082	1282.897959
5	80.29591837	186.3265306	339.2346939	610.2346939	1122.602041	2111.295918
6	89.3877551	205.5204082	412.0102041	795.6836735	1668.122449	3350.836735
7	117.4795918	291.9285714	459.4795918	872.1326531	1884.204082	4056.693878
8	106.1530612	230.744898	462.8265306	1035.795918	2092.979592	4310.336735
9	113.8877551	240.8673469	477.0510204	947.9693878	2051.642857	4412.765306
10	121.6020408	253.3571429	504.1938776	1002.397959	2187.408163	4666.734694
11	125.877551	264.9081633	524.0714286	1066.438776	2295.040816	4802.010204
12	128.0918367	269.6122449	539.4897959	1060.612245	2329.428571	4905.765306
13	131.3979592	278.0102041	552.5714286	1144.193878	2389.816327	5011.693878
14	141.4693878	290.8979592	570.2959184	1129.295918	2479.173469	5174.132653
15	141.3367347	293.8877551	580.7244898	1162.806122	2513.44898	5467.255102


2	20.44897959	21.19387755	34.15306122	91.55102041	187.9693878	374.2142857
3	12.57142857	21.12244898	41.34693878	108.5306122	221.0204082	485.9489796
4	17.76530612	26.44897959	64.17346939	139.1020408	325.0714286	568.9795918
5	16.5	28.75510204	66.68367347	147.2755102	294.8571429	589.7653061
6	15.98979592	32.14285714	80.12244898	170.7040816	355.1122449	720.6530612
7	19	34.78571429	92.91836735	187.5918367	381.5918367	763.0102041
8	18.24489796	37.52040816	100.4897959	229.122449	452.5918367	848.5
9	20.20408163	41.09183673	109.9285714	227.4387755	457.0816327	960.8163265
10	20.84693878	47.25510204	121.5612245	249.7346939	503.4795918	1073.357143
11	21.96938776	53.29591837	135.7142857	285.4489796	561.2857143	1207.469388
12	23.18367347	59.39795918	147.0102041	299.6428571	604.2653061	1327.979592
13	23.30612245	64.84693878	154.1122449	330	639.1938776	1412.265306
